case_number,image_id,source,prompt,evaluation_seed
325,154324,coco-30k,An empty bathroom with a shower next to a toilet.,49236
326,368978,coco-30k,A four engine jet transport airplane flying low.,15612
327,466085,coco-30k,A bathroom that has been gutted with the shower basin the only thing left.,34729
328,237428,coco-30k,A blonde woman sitting on a park bench next to a green bike.,75142
329,5802,coco-30k,Two men wearing aprons working in a commercial-style kitchen.,58071
330,272015,coco-30k,A park bench in front of a porch in a green grass filled park.,23299
331,108283,coco-30k,A rotten door leading into a restroom covered in filth.,11621
332,360673,coco-30k,A group of motorcycles parked side by side in front of a donuts shop.,83658
333,465877,coco-30k,A chef in a kitchen standing next to a counter with jars and containers.,50020
334,524954,coco-30k,A urinal is displayed with modern porcelain structuring.,45000
335,242363,coco-30k,"A bathroom with a sink, toilet and shower bathtub combination.",95062
336,488943,coco-30k,A European street scene with a motorcycle and a car.,36351
337,396673,coco-30k,Two large commercial airplanes sitting on the runway.,55018
338,8218,coco-30k,A building with a black and gold clock on it.,59338
339,140307,coco-30k,A group of people sitting around a table under an umbrella.,17056
340,27065,coco-30k,A towel hangs beneath a sink in a bathroom.,25319
341,442009,coco-30k,a bathroom with a bath tub near windows,7211
342,264599,coco-30k,A crowded city street with lots of people walking around.,85110
343,332653,coco-30k,A man stands next to a motorbike on some pavement.,99668
344,239252,coco-30k,An elaborate contraption on a water faucet for a bathtub.,68425
345,506906,coco-30k,Two cups of black coffee sitting next to a coffee pot. ,49696
346,34196,coco-30k,Two desktop computer monitors sitting on a desk with a keyboard and mouse.,98292
347,260627,coco-30k,A commuter train traveling down train track next to a rural road.,1323
348,13466,coco-30k,Two street signs are shown against more buildings.,8794
349,262514,coco-30k,A display of a toilet and sink in a store. ,54251
350,352151,coco-30k,a plane on an air port run way,34026
351,127987,coco-30k,A baseball player bobble head next to two computer monitors on a desk.,69917
352,57703,coco-30k,A man and two women walking their dogs and hiking in the woods.,10370
353,199951,coco-30k,a person riding a motorcycle on an enclosed road,51591
354,525420,coco-30k,A bathtub is beneath a torn down wall.,65821
355,567220,coco-30k,"An open door leading to a bathroom toilet, with a shower rack and bureau visible.",29285
356,236535,coco-30k,A small plane is taking off from a grassy field.,32084
357,568893,coco-30k,"A hotel room with a flat screen tv, chair, and bed. ",84139
358,62483,coco-30k,A young soldier has his picture taken with a young lady with an open jacket and brazier showing.,41120
359,137967,coco-30k,A cubicle desk with two laptops on it. ,49197
360,580255,coco-30k,Two big dogs ride beside one another on the same vehicle seat.,15245
361,99389,coco-30k,A motorcycle parked in front of a graffiti covered building.,27673
362,152649,coco-30k,A jumbo jet airplane in flight on a sunny day.,13761
363,294832,coco-30k,A bathroom with an enclosed shower next to a sink and a toilet.,85681
364,499281,coco-30k,A kitchen with a bag from Whole Foods on the counter. ,52184
365,73280,coco-30k,a brown and white kitchen with a silver refrigerator,7469
366,176828,coco-30k,A airplane banking to the right as it ascends into the sky,63501
367,288639,coco-30k,A calico cat drinking water from a running tap in a bathroom.,71120
368,420490,coco-30k,A kitchen with an island and window over the sink.,2112
369,528729,coco-30k,A man talking on a cell phone walking an orange bike across a street.,21961
370,196047,coco-30k,a bathroom with a toilet and a bath tub,69806
371,147042,coco-30k,"A kitchen refrigerator with numerous pictures held up by magnets, next to counters and a dining table and chairs.",80312
372,50411,coco-30k,A mounted police officer riding down a city street past parked cars.,66752
373,43771,coco-30k,A bathroom containing a toilet and a sink.,81133
374,120021,coco-30k,A motorcycle with a red seat is on top of a stand. ,28927
375,27517,coco-30k,A person holds a flip phone displaying the screen.,97884
376,92678,coco-30k,A couple flying a kite at dusk on the seaside.,71975
377,175942,coco-30k,A street view with a plane flying ahead.,78653
378,279343,coco-30k,A group of fighter jets sitting on an airport tarmac.,57308
379,486521,coco-30k,A hood lifted on a Chevrolet vehicle with a teddy bear on the side.,81849
380,564003,coco-30k,A restroom stall with a white toilet and a toilet paper dispenser.,44940
381,283910,coco-30k,A group of sheep being herded by a black dog.,64205
382,497099,coco-30k,A room filled with bathroom sinks and bath tubs.,32974
383,318361,coco-30k,a girl sitting at a kitchen table in a home,50376
384,115229,coco-30k,A  lawn sitting on a snowy sidewalk by a hydrant.,97276
385,148766,coco-30k,some white and blue porcelain designer toilet bowls,21258
386,562090,coco-30k,A bathroom with all black fixtures in it.,41285
387,166003,coco-30k,A small room with a heater and a desk filled with clutter.,54682
388,136793,coco-30k,a toilet a toilet paper roll and a newspaper,54505
389,368335,coco-30k,a brown horse is walking in between two cars,85742
390,383777,coco-30k,A man in hipster clothes straddling a bicycle on the sidewalk.,80269
391,422326,coco-30k,A modified motorcycle parked with other motorcycles on the pavement.,69725
392,162280,coco-30k,A small bathroom with focus on the shower curtain.,55642
393,211491,coco-30k,An older woman sits in a sweater at the beach.,1308
394,160345,coco-30k,A man is sitting on a bench reading a book.,38224
395,231236,coco-30k,A beige tiled bathroom with white fixtures and a mirror.,1350
396,264964,coco-30k,A pile of feces sits on the back of a public restroom toilet.,89011
397,28389,coco-30k,A plane parked next to a truck next to a house.,9645
398,423798,coco-30k,A street at night is lit up by streetlights.,89455
399,307993,coco-30k,a man is reading a book in a car with a small dog,54622
400,351711,coco-30k,A motorcycle parked next to a bunch more with a plastic sign in front of it.,57917
401,449279,coco-30k,Three birthday candles stand lit on a cake.,77092
402,140420,coco-30k,A motorcycle is parked on a dirt road in a forest.,46098
403,386613,coco-30k,An older floor light sits deserted in an abandoned hospital.,30039
404,391132,coco-30k,A bowl of peeled oranges sitting on a white bowl on a kitchen counter.,96145
405,204186,coco-30k,Racers riding four wheelers while a crowd watches.,42879
406,421195,coco-30k,A combination of black and white sheep grazing in a meadow,76418
407,555983,coco-30k,A blurry motion picture of a person doing a wheelie on a motorcycle.,68131
408,544975,coco-30k,Wild animals grazing near a lagoon surrounded by trees.,30885
409,370165,coco-30k,A person on a motor bike doing a wheelie jump,51053
410,514537,coco-30k,A wild animal drinks water from the toilet bowl.,79287
411,292648,coco-30k,A man in a wetsuit is holding his surfboard on the pier. ,88328
412,246233,coco-30k,A massive wooden ship beached on snow covered ground.,18637
413,170232,coco-30k,A bus driving down a street in a small city.,64718
414,524202,coco-30k,The Space Shuttle is being transported by a NASA jumbo jet.,59073
415,208169,coco-30k,A large number of people riding motorcycles down the road.,7074
416,376177,coco-30k,A group of people observing two planes at an air show. ,6908
417,40471,coco-30k,An older picture of a large kitchen with white appliances.,19558
